piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices,pre_velocity_x,pre_velocity_y,pre_angular_velocity,delta_velocity_x,delta_velocity_y,delta_angular_velocity,collision_normal_x,collision_normal_y,collision_depth,collision_separation,collision_pair_count,collision_contact_count,collision_support_count,collision_contact_part_count,collision_contact_min_x,collision_contact_max_x,collision_contact_mean_x,collision_contact_center_offset_px
"25","falling","0","16.0","","195.000","96.616","0.00000","0.54390","0.54390","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","0.00000","0.000000","0.00000","0.54390","0.000000","","","","","0","0","0","0","","","",""
"25","falling","1","27.0","","195.000","97.048","0.00000","0.72119","0.72119","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","0.54390","0.000000","0.00000","0.17729","0.000000","","","","","0","0","0","0","","","",""
"25","falling","2","44.0","","195.000","97.893","0.00000","0.97609","0.97609","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","0.72119","0.000000","0.00000","0.25490","0.000000","","","","","0","0","0","0","","","",""
"25","falling","3","60.0","","195.000","99.059","0.00000","1.24296","1.24296","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","0.97609","0.000000","0.00000","0.26686","0.000000","","","","","0","0","0","0","","","",""
"25","falling","4","77.0","","195.000","100.495","0.00000","1.50576","1.50576","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","1.24296","0.000000","0.00000","0.26280","0.000000","","","","","0","0","0","0","","","",""
"25","falling","5","94.0","","195.000","102.087","0.00000","1.74943","1.74943","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","1.50576","0.000000","0.00000","0.24366","0.000000","","","","","0","0","0","0","","","",""
"25","falling","6","110.0","","195.000","104.034","0.00000","2.00452","2.00452","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","1.74943","0.000000","0.00000","0.25510","0.000000","","","","","0","0","0","0","","","",""
"25","falling","7","127.0","","195.000","106.240","0.00000","2.25574","2.25574","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","2.00452","0.000000","0.00000","0.25122","0.000000","","","","","0","0","0","0","","","",""
"25","falling","8","144.0","","195.000","108.545","0.00000","2.48866","2.48866","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","2.25574","0.000000","0.00000","0.23292","0.000000","","","","","0","0","0","0","","","",""
"25","falling","9","160.0","","195.000","111.239","0.00000","2.73252","2.73252","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","2.48866","0.000000","0.00000","0.24385","0.000000","","","","","0","0","0","0","","","",""
"25","falling","10","177.0","","195.000","114.180","0.00000","2.97266","2.97266","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","2.73252","0.000000","0.00000","0.24014","0.000000","","","","","0","0","0","0","","","",""
"25","falling","11","194.0","","195.000","117.167","0.00000","3.19532","3.19532","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","2.97266","0.000000","0.00000","0.22265","0.000000","","","","","0","0","0","0","","","",""
"25","falling","12","210.0","","195.000","120.575","0.00000","3.42842","3.42842","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","3.19532","0.000000","0.00000","0.23310","0.000000","","","","","0","0","0","0","","","",""
"25","falling","13","227.0","","195.000","124.219","0.00000","3.65798","3.65798","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","3.42842","0.000000","0.00000","0.22956","0.000000","","","","","0","0","0","0","","","",""
"25","falling","14","244.0","","195.000","127.859","0.00000","3.87082","3.87082","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","3.65798","0.000000","0.00000","0.21284","0.000000","","","","","0","0","0","0","","","",""
"25","falling","15","260.0","","195.000","131.949","0.00000","4.09364","4.09364","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","3.87082","0.000000","0.00000","0.22283","0.000000","","","","","0","0","0","0","","","",""
"25","falling","16","277.0","","195.000","136.265","0.00000","4.31308","4.31308","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","4.09364","0.000000","0.00000","0.21944","0.000000","","","","","0","0","0","0","","","",""
"25","falling","17","294.0","","195.000","140.528","0.00000","4.51654","4.51654","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","4.31308","0.000000","0.00000","0.20346","0.000000","","","","","0","0","0","0","","","",""
"25","falling","18","310.0","","195.000","145.271","0.00000","4.72954","4.72954","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","4.51654","0.000000","0.00000","0.21300","0.000000","","","","","0","0","0","0","","","",""
"25","falling","19","327.0","","195.000","150.229","0.00000","4.93930","4.93930","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","4.72954","0.000000","0.00000","0.20976","0.000000","","","","","0","0","0","0","","","",""
"25","falling","20","344.0","","195.000","155.087","0.00000","5.13379","5.13379","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","4.93930","0.000000","0.00000","0.19449","0.000000","","","","","0","0","0","0","","","",""
"25","falling","21","360.0","","195.000","160.454","0.00000","5.33741","5.33741","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","5.13379","0.000000","0.00000","0.20361","0.000000","","","","","0","0","0","0","","","",""
"25","falling","22","377.0","","195.000","166.026","0.00000","5.53792","5.53792","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","5.33741","0.000000","0.00000","0.20052","0.000000","","","","","0","0","0","0","","","",""
"25","falling","23","394.0","","195.000","171.454","0.00000","5.72384","5.72384","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","5.53792","0.000000","0.00000","0.18591","0.000000","","","","","0","0","0","0","","","",""
"25","falling","24","410.0","","195.000","177.417","0.00000","5.91848","5.91848","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","5.72384","0.000000","0.00000","0.19464","0.000000","","","","","0","0","0","0","","","",""
"25","falling","25","427.0","","195.000","183.576","0.00000","6.11015","6.11015","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","5.91848","0.000000","0.00000","0.19168","0.000000","","","","","0","0","0","0","","","",""
"25","falling","26","444.0","","195.000","189.549","0.00000","6.28787","6.28787","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","6.11015","0.000000","0.00000","0.17772","0.000000","","","","","0","0","0","0","","","",""
"25","falling","27","460.0","","195.000","196.081","0.00000","6.47393","6.47393","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","6.28787","0.000000","0.00000","0.18606","0.000000","","","","","0","0","0","0","","","",""
"25","falling","28","477.0","","195.000","202.802","0.00000","6.65716","6.65716","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","6.47393","0.000000","0.00000","0.18323","0.000000","","","","","0","0","0","0","","","",""
"25","falling","29","494.0","","195.000","209.295","0.00000","6.82704","6.82704","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","6.65716","0.000000","0.00000","0.16988","0.000000","","","","","0","0","0","0","","","",""
"25","falling","30","510.0","","195.000","216.372","0.00000","7.00490","7.00490","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","6.82704","0.000000","0.00000","0.17786","0.000000","","","","","0","0","0","0","","","",""
"25","falling","31","527.0","","195.000","223.629","0.00000","7.18005","7.18005","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","7.00490","0.000000","0.00000","0.17515","0.000000","","","","","0","0","0","0","","","",""
"25","falling","32","544.0","","195.000","230.619","0.00000","7.34244","7.34244","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","7.18005","0.000000","0.00000","0.16239","0.000000","","","","","0","0","0","0","","","",""
"25","falling","33","560.0","","195.000","238.217","0.00000","7.51246","7.51246","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","7.34244","0.000000","0.00000","0.17002","0.000000","","","","","0","0","0","0","","","",""
"25","falling","34","577.0","","195.000","245.987","0.00000","7.67988","7.67988","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","7.51246","0.000000","0.00000","0.16743","0.000000","","","","","0","0","0","0","","","",""
"25","falling","35","593.0","","195.000","253.453","0.00000","7.83512","7.83512","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","7.67988","0.000000","0.00000","0.15524","0.000000","","","","","0","0","0","0","","","",""
"25","falling","36","610.0","","195.000","261.548","0.00000","7.99764","7.99764","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","7.83512","0.000000","0.00000","0.16252","0.000000","","","","","0","0","0","0","","","",""
"25","falling","37","627.0","","195.000","269.808","0.00000","8.15769","8.15769","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","7.99764","0.000000","0.00000","0.16005","0.000000","","","","","0","0","0","0","","","",""
"25","falling","38","643.0","","195.000","277.729","0.00000","8.30608","8.30608","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","8.15769","0.000000","0.00000","0.14839","0.000000","","","","","0","0","0","0","","","",""
"25","falling","39","660.0","","195.000","286.300","0.00000","8.46144","8.46144","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","8.30608","0.000000","0.00000","0.15536","0.000000","","","","","0","0","0","0","","","",""
"25","falling","40","677.0","","195.000","295.029","0.00000","8.61443","8.61443","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","8.46144","0.000000","0.00000","0.15299","0.000000","","","","","0","0","0","0","","","",""
"25","falling","41","694.0","","195.000","303.384","0.00000","8.75628","8.75628","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","8.61443","0.000000","0.00000","0.14185","0.000000","","","","","0","0","0","0","","","",""
"25","falling","42","710.0","","195.000","312.410","0.00000","8.90479","8.90479","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","8.75628","0.000000","0.00000","0.14851","0.000000","","","","","0","0","0","0","","","",""
"25","falling","43","728.0","","195.000","321.586","0.00000","9.05104","9.05104","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","8.90479","0.000000","0.00000","0.14625","0.000000","","","","","0","0","0","0","","","",""
"25","falling","44","743.0","","195.000","330.357","0.00000","9.18663","9.18663","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","9.05104","0.000000","0.00000","0.13560","0.000000","","","","","0","0","0","0","","","",""
"25","falling","45","760.0","","195.000","339.818","0.00000","9.32859","9.32859","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","9.18663","0.000000","0.00000","0.14196","0.000000","","","","","0","0","0","0","","","",""
"25","falling","46","777.0","","195.000","348.852","0.00000","9.46022","9.46022","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","9.32859","0.000000","0.00000","0.13162","0.000000","","","","","0","0","0","0","","","",""
"25","falling","47","793.0","","195.000","358.590","0.00000","9.59802","9.59802","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","9.46022","0.000000","0.00000","0.13780","0.000000","","","","","0","0","0","0","","","",""
"25","falling","48","810.0","","195.000","368.466","0.00000","9.73372","9.73372","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","9.59802","0.000000","0.00000","0.13570","0.000000","","","","","0","0","0","0","","","",""
"25","falling","49","827.0","","195.000","378.480","0.00000","9.86736","9.86736","0.000000","0.000000","0","0","2.95800","422.016","3.375","16.000","16.000","16.000","16.000","17.000","0.000","0.000","0","0","1.8319","85","170","85","88","80","0.00000","9.73372","0.000000","0.00000","0.13364","0.000000","","","","","0","0","0","0","","","",""
