piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices,pre_velocity_x,pre_velocity_y,pre_angular_velocity,delta_velocity_x,delta_velocity_y,delta_angular_velocity,collision_normal_x,collision_normal_y,collision_depth,collision_separation,collision_pair_count,collision_contact_count,collision_support_count,collision_contact_part_count,collision_contact_min_x,collision_contact_max_x,collision_contact_mean_x,collision_contact_center_offset_px
"26","falling","0","13.0","","195.000","96.616","0.00000","0.54390","0.54390","0.000000","0.000000","0","0","4.03400","1163.861","2.725","11.000","11.000","14.000","17.000","23.000","0.000","0.000","0","0","1.6257","76","152","76","82","72","0.00000","0.00000","0.000000","0.00000","0.54390","0.000000","","","","","0","0","0","0","","","",""
"26","falling","1","29.0","","195.000","97.292","0.00000","0.80134","0.80134","0.000000","0.000000","0","0","4.03400","1163.861","2.725","11.000","11.000","14.000","17.000","23.000","0.000","0.000","0","0","1.6257","76","152","76","82","72","0.00000","0.54390","0.000000","0.00000","0.25744","0.000000","","","","","0","0","0","0","","","",""
"26","falling","2","46.0","","195.000","98.214","0.00000","1.05510","1.05510","0.000000","0.000000","0","0","4.03400","1163.861","2.725","11.000","11.000","14.000","17.000","23.000","0.000","0.000","0","0","1.6257","76","152","76","82","72","0.00000","0.80134","0.000000","0.00000","0.25375","0.000000","","","","","0","0","0","0","","","",""
"26","falling","3","62.0","","195.000","99.460","0.00000","1.32076","1.32076","0.000000","0.000000","0","0","4.03400","1163.861","2.725","11.000","11.000","14.000","17.000","41.000","0.000","0.000","0","0","1.6257","76","152","76","82","72","0.00000","1.05510","0.000000","0.00000","0.26566","0.000000","","","","","0","0","0","0","","","",""
"26","falling","4","79.0","","195.000","100.974","0.00000","1.58238","1.58238","0.000000","0.000000","0","0","4.03400","1163.861","2.725","11.000","11.000","14.000","17.000","41.000","0.000","0.000","0","0","1.6257","76","152","76","82","72","0.00000","1.32076","0.000000","0.00000","0.26162","0.000000","","","","","0","0","0","0","","","",""
"26","falling","5","96.0","","195.000","102.639","0.00000","1.82495","1.82495","0.000000","0.000000","0","0","4.03400","1163.861","2.725","11.000","11.000","14.000","17.000","41.000","0.000","0.000","0","0","1.6257","76","152","76","82","72","0.00000","1.58238","0.000000","0.00000","0.24257","0.000000","","","","","0","0","0","0","","","",""
"26","falling","6","112.0","","195.000","104.663","0.00000","2.07890","2.07890","0.000000","0.000000","0","0","4.03400","1163.861","2.725","11.000","11.000","14.000","17.000","41.000","0.000","0.000","0","0","1.6257","76","152","76","82","72","0.00000","1.82495","0.000000","0.00000","0.25395","0.000000","","","","","0","0","0","0","","","",""
"26","falling","7","129.0","","195.000","106.943","0.00000","2.32898","2.32898","0.000000","0.000000","0","0","4.03400","1163.861","2.725","11.000","11.000","14.000","17.000","41.000","0.000","0.000","0","0","1.6257","76","152","76","82","72","0.00000","2.07890","0.000000","0.00000","0.25009","0.000000","","","","","0","0","0","0","","","",""
"26","falling","8","147.0","","195.000","109.318","0.00000","2.56086","2.56086","0.000000","0.000000","0","0","4.03400","1163.861","2.725","11.000","11.000","14.000","17.000","41.000","0.000","0.000","0","0","1.6257","76","152","76","82","72","0.00000","2.32898","0.000000","0.00000","0.23187","0.000000","","","","","0","0","0","0","","","",""
"26","falling","9","162.0","","195.000","112.086","0.00000","2.80361","2.80361","0.000000","0.000000","0","0","4.03400","1163.861","2.725","11.000","11.000","14.000","17.000","41.000","0.000","0.000","0","0","1.6257","76","152","76","82","72","0.00000","2.56086","0.000000","0.00000","0.24275","0.000000","","","","","0","0","0","0","","","",""
